,kdcode,dt,label,event_att,news_att,price_att,up,down,neural,pred_label,ori_pred_label,pred_probability
31,000040.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.29797706,0.5103076,0.19171534,1,1,"[0.2979770600795746, 0.5103076100349426, 0.19171534478664398]"
32,000042.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.27521965,0.24199481,0.48278546,2,1,"[0.2752196490764618, 0.24199481308460236, 0.4827854633331299]"
33,000045.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.26042774,0.33550456,0.40406767,2,1,"[0.2604277431964874, 0.33550456166267395, 0.40406766533851624]"
34,000046.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.2722707,0.2315199,0.49620944,2,0,"[0.27227070927619934, 0.2315198928117752, 0.49620944261550903]"
35,000049.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.25873476,0.17579491,0.5654703,2,0,"[0.2587347626686096, 0.17579491436481476, 0.565470278263092]"
36,000050.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.2674826,0.3198484,0.41266903,2,1,"[0.26748260855674744, 0.3198483884334564, 0.41266903281211853]"
37,000055.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.2821581,0.29432145,0.42352048,2,2,"[0.28215810656547546, 0.2943214476108551, 0.4235204756259918]"
38,000056.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.28849548,0.28284213,0.42866236,2,1,"[0.2884954810142517, 0.28284212946891785, 0.42866235971450806]"
39,000058.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.24867542,0.23068732,0.5206373,2,1,"[0.2486754208803177, 0.23068732023239136, 0.5206372737884521]"
40,000059.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.27595767,0.23566304,0.4883793,2,1,"[0.2759576737880707, 0.235663041472435, 0.4883792996406555]"
41,000060.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.41774562,0.39896363,0.1832907,0,2,"[0.4177456200122833, 0.3989636301994324, 0.18329070508480072]"
42,000061.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.2961017,0.4356826,0.26821575,1,1,"[0.2961016893386841, 0.43568259477615356, 0.26821574568748474]"
43,000062.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.2528535,0.19809948,0.54904705,2,0,"[0.25285351276397705, 0.19809947907924652, 0.54904705286026]"
44,000063.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.24845992,0.24063098,0.51090914,2,0,"[0.24845992028713226, 0.24063098430633545, 0.5109091401100159]"
45,000065.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.33915916,0.61130893,0.049531907,1,2,"[0.33915916085243225, 0.6113089323043823, 0.049531906843185425]"
46,000066.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.29802945,0.37092602,0.33104447,1,0,"[0.29802945256233215, 0.37092602252960205, 0.331044465303421]"
47,000068.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.27402788,0.30358678,0.42238533,2,1,"[0.27402788400650024, 0.30358678102493286, 0.4223853349685669]"
48,000069.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.33702162,0.4692004,0.19377795,1,2,"[0.3370216190814972, 0.46920040249824524, 0.19377794861793518]"
49,000070.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.27467382,0.3010884,0.4242378,2,0,"[0.27467381954193115, 0.3010883927345276, 0.42423778772354126]"
50,000078.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.25613555,0.20715345,0.53671104,2,0,"[0.2561355531215668, 0.20715345442295074, 0.5367110371589661]"
51,000088.SZ,2019-04-03,2.0,2.343132e-33,0.0,1.0,0.2569969,0.26126552,0.48173755,2,1,"[0.25699689984321594, 0.26126551628112793, 0.48173755407333374]"
52,000089.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.20316795,0.10896612,0.6878659,2,0,"[0.20316794514656067, 0.10896611958742142, 0.6878659129142761]"
53,000090.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.3349373,0.50954264,0.15552007,1,2,"[0.33493730425834656, 0.5095426440238953, 0.15552006661891937]"
54,000096.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.24084108,0.20594878,0.5532102,2,0,"[0.2408410757780075, 0.20594878494739532, 0.5532101988792419]"
55,000099.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.308069,0.36840433,0.32352665,1,2,"[0.30806899070739746, 0.3684043288230896, 0.32352665066719055]"
56,000100.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.22929879,0.17052452,0.6001767,2,0,"[0.22929878532886505, 0.17052452266216278, 0.6001766920089722]"
57,000150.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.287188,0.5505104,0.16230157,1,1,"[0.28718799352645874, 0.5505104064941406, 0.16230157017707825]"
58,000151.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.27548236,0.41702762,0.30749002,1,1,"[0.2754823565483093, 0.41702762246131897, 0.3074900209903717]"
59,000153.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.2544146,0.18881862,0.5567668,2,0,"[0.2544145882129669, 0.18881861865520477, 0.5567668080329895]"
60,000155.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.2856991,0.50087345,0.21342748,1,1,"[0.28569909930229187, 0.5008734464645386, 0.21342748403549194]"
61,000156.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.22226344,0.20233424,0.57540226,2,0,"[0.22226344048976898, 0.2023342400789261, 0.5754022598266602]"
62,000157.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.2780549,0.54463184,0.17731328,1,1,"[0.2780548930168152, 0.544631838798523, 0.17731328308582306]"
